rung,quantity,rmse,mae,crps,coverage,rho,sigma_ratio,rms_z,median_sigma,n_dropped
map,E,0.6613986663228021,0.6035206314481911,0.6944435549685565,1.0,1.0,5.257414419636977,0.284036381288341,1.959033804582952,0
map,F,0.02589220722682001,0.018516322461788776,0.0152079306930823,1.0,0.5692541991495784,3.249583121137955,0.4259353859060393,0.04893017121458612,0
map,V,0.03258305040697985,0.02083896336237441,0.029100341358502608,1.0,0.11217391304347826,8.930987978361907,0.35729147278402124,0.07344088591652749,0
laplace,E,0.5947107437608412,0.5629176814982202,0.7639421435267318,1.0,1.0,6.2058587787542185,0.26426055272362403,2.0558725158074065,0
laplace,F,0.024501952408145487,0.017475775888653247,0.015696155776700544,1.0,0.7121739130434783,3.609303137090517,0.3555094809767054,0.05133099303707736,0
laplace,V,0.04384353226695135,0.026362084132849965,0.03215340399895535,1.0,0.42173913043478256,10.66424540248597,0.29307267638405987,0.07805262319050602,0
